Source,IslandID,TaxonOrig,GenusL69,SpeciesL69,,SpeciesID,SubspID,Sex,Plumage,,WingL,,,BeakH,,UBeakL,NUBkL
Lack CAS,Wlf_Wnm,Geospiza magnirostris,Geospiza,magnirostris,,Geo.mag,Geo.mag,M,Black,,86,,,20,,0,0
Lack CAS,Wlf_Wnm,Geospiza magnirostris,Geospiza,magnirostris,,Geo.mag,Geo.mag,M,Black,,86,,,19,,0,0
Lack CAS,Wlf_Wnm,Geospiza magnirostris,Geospiza,magnirostris,,Geo.mag,Geo.mag,M,Black,,88,,,0,,23,0
Lack CAS,Wlf_Wnm,Geospiza magnirostris,Geospiza,magnirostris,,Geo.mag,Geo.mag,M,Black,,84,,,20,,0,0
Lack CAS,Wlf_Wnm,Geospiza magnirostris,Geospiza,magnirostris,,Geo.mag,Geo.mag,M,Black,,86,,,21,,0,0
Lack CAS,Wlf_Wnm,Geospiza magnirostris,Geospiza,magnirostris,,Geo.mag,Geo.mag,M,Black,,86,,,19,,0,0
Lack CAS,Wlf_Wnm,Geospiza magnirostris,Geospiza,magnirostris,,Geo.mag,Geo.mag,M,Black,,87,,,20,,0,0
Lack CAS,Wlf_Wnm,Geospiza magnirostris,Geospiza,magnirostris,,Geo.mag,Geo.mag,M,Black,,87,,,21,,0,0
Lack CAS,Wlf_Wnm,Geospiza magnirostris,Geospiza,magnirostris,,Geo.mag,Geo.mag,M,Black,,86,,,21,,0,0
Lack CAS,Wlf_Wnm,Geospiza magnirostris,Geospiza,magnirostris,,Geo.mag,Geo.mag,M,P. black,,80,,,19,,22,0
Lack CAS,Wlf_Wnm,Geospiza magnirostris,Geospiza,magnirostris,,Geo.mag,Geo.mag,F,,,82,,,19,,0,0
Lack CAS,Wlf_Wnm,Geospiza magnirostris,Geospiza,magnirostris,,Geo.mag,Geo.mag,F,,,80,,,19,,22,0
Lack CAS,Wlf_Wnm,Geospiza magnirostris,Geospiza,magnirostris,,Geo.mag,Geo.mag,F,,,83,,,19,,0,0
Lack CAS,Wlf_Wnm,Geospiza magnirostris,Geospiza,magnirostris,,Geo.mag,Geo.mag,F,,,83,,,19,,21,0
Lack CAS,Wlf_Wnm,Geospiza magnirostris,Geospiza,magnirostris,,Geo.mag,Geo.mag,U,,,80,,,19,,0,0
Lack CAS,Wlf_Wnm,Geospiza magnirostris,Geospiza,magnirostris,,Geo.mag,Geo.mag,U,,,82,,,19,,0,0
Lack CAS,Gnov_Twr,Geospiza magnirostris,Geospiza,magnirostris,,Geo.mag,Geo.mag,M,Black,,84,,,22,,0,0
Lack CAS,Gnov_Twr,Geospiza magnirostris,Geospiza,magnirostris,,Geo.mag,Geo.mag,M,Black,,85,,,22,,24,0
Lack CAS,Gnov_Twr,Geospiza magnirostris,Geospiza,magnirostris,,Geo.mag,Geo.mag,M,Black,,85,,,21,,0,0
Lack CAS,Gnov_Twr,Geospiza magnirostris,Geospiza,magnirostris,,Geo.mag,Geo.mag,M,Black,,87,,,21,,23,0
Lack CAS,Gnov_Twr,Geospiza magnirostris,Geospiza,magnirostris,,Geo.mag,Geo.mag,M,Black,,89,,,21,,0,0
Lack CAS,Gnov_Twr,Geospiza magnirostris,Geospiza,magnirostris,,Geo.mag,Geo.mag,M,Black,,87,,,21,,23,0
Lack CAS,Gnov_Twr,Geospiza magnirostris,Geospiza,magnirostris,,Geo.mag,Geo.mag,M,Black,,86,,,0,,23,0
Lack CAS,Gnov_Twr,Geospiza magnirostris,Geospiza,magnirostris,,Geo.mag,Geo.mag,M,Black,,86,,,0,,25,0
Lack CAS,Gnov_Twr,Geospiza magnirostris,Geospiza,magnirostris,,Geo.mag,Geo.mag,M,Black,,86,,,20,,22,0
Lack CAS,Gnov_Twr,Geospiza magnirostris,Geospiza,magnirostris,,Geo.mag,Geo.mag,M,Black,,87,,,0,,24,0
Lack CAS,Gnov_Twr,Geospiza magnirostris,Geospiza,magnirostris,,Geo.mag,Geo.mag,M,Black,,85,,,19,,0,0
Lack CAS,Gnov_Twr,Geospiza magnirostris,Geospiza,magnirostris,,Geo.mag,Geo.mag,M,Black,,89,,,22,,24,0
Lack CAS,Gnov_Twr,Geospiza magnirostris,Geospiza,magnirostris,,Geo.mag,Geo.mag,M,Black,,85,,,22,,23,0
Lack CAS,Gnov_Twr,Geospiza magnirostris,Geospiza,magnirostris,,Geo.mag,Geo.mag,M,Black,,87,,,0,,23,0
Lack CAS,Gnov_Twr,Geospiza magnirostris,Geospiza,magnirostris,,Geo.mag,Geo.mag,M,Black,,85,,,0,,24,0
Lack CAS,Gnov_Twr,Geospiza magnirostris,Geospiza,magnirostris,,Geo.mag,Geo.mag,M,Black,,88,,,21,,0,0
Lack CAS,Gnov_Twr,Geospiza magnirostris,Geospiza,magnirostris,,Geo.mag,Geo.mag,M,Black,,88,,,22,,0,0
